Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
Blackhorse Road,535914,189256,51.58577663,-0.039625712,3,E17 6JJ
Blackwall,538394,180649,51.50783154,-0.007235166,2,E14 9QB
Bond Street,528497,181053,51.51379752,-0.14961361,1,W1C 2HU
Borough,532379,179734,51.50104887,-0.094197323,1,SE1 1JX
Boston Manor,516391,178755,51.49576554,-0.324747189,4,TW8 9LQ
Bounds Green,529996,191466,51.60703192,-0.124177066,"3,4",N11 2EU
Bow Church,537414,182824,51.5276152,-0.020499899,2,E3 3AA
Bow Road,537148,182753,51.52704181,-0.024359591,2,E3 4DH
Bowes Park,530299,191498,51.60724951,-0.119792219,"3,4",N22 8NL
Brent Cross,523905,187927,51.57659922,-0.213335841,3,NW11 9UA
Brentford,517462,177864,51.48753631,-0.309622537,4,TW8 9LF
Brentwood,559321,193036,51.61361034,0.299672816,7,CM14 4EW
Brimsdown,536297,196997,51.65524461,-0.031092277,5,EN3 7NA
Brixton,531076,175437,51.4627368,-0.114552098,2,SW9 8HE
Brockley,536405,175801,51.46474966,-0.037748251,2,SE4 2RW
Bromley North,540395,169699,51.40894231,0.017235452,4,BR1 3NN
Bromley South,540431,168705,51.40000129,0.01735958,5,BR1 1LX
Bromley-by-Bow,538034,182532,51.5248402,-0.011682374,"2,3",E3 3BT
Brondesbury,524718,184460,51.54526236,-0.202838486,2,NW6 7QL
Brondesbury Park,524202,183898,51.54032537,-0.210473947,2,NW6 6RP
Broxbourne,537407,207240,51.74701557,-0.011024084,9,EN10 7AW
Bruce Grove,533758,190115,51.59401125,-0.07039899,3,N17 8AD
Buckhurst Hill,541768,193957,51.62657666,0.046712541,5,IG9 5ET
Burnt Oak,520303,190728,51.60255191,-0.264330712,4,HA8 0LA
Bush Hill Park,533696,195396,51.64148196,-0.069280413,5,EN1 1BA
Bushey,511860,195318,51.64554416,-0.384721541,8,WD19 4ST
Caledonian Road,530568,184899,51.54788544,-0.118360862,2,N7 9BA
Caledonian Road and Barnsbury,530800,184393,51.54328458,-0.115204857,2,N1 0SL
Cambridge Heath,534855,183250,51.53205976,-0.057203201,2,E2 7NA
Camden Road,529140,184191,51.54185123,-0.139203113,2,NW1 9LQ
Camden Town,528920,183976,51.53996935,-0.142452381,2,NW1 8NH
Canada Water,535399,179493,51.49816841,-0.050807121,2,SE16 7BB
Canary Wharf,537558,180153,51.5035784,-0.01946684,2,E14 4QS
Canning Town,539454,181350,51.51387029,0.008305633,3,E16 1DQ
Cannon Street,532623,180888,51.51136209,-0.090250527,1,EC4N 6AP
Canonbury,532355,184979,51.54818839,-0.092574196,2,N1 2PG
Canons Park,518208,191246,51.60765057,-0.294391597,5,HA8 6RN
Carpenders Park,511826,193386,51.62818672,-0.385829324,7,WD19 7DT
Carshalton,527737,164858,51.36842637,-0.166398328,5,SM5 2HT
Carshalton Beeches,527552,163625,51.35738684,-0.169496326,5,SM5 3LG
Castle Bar Park,515853,181770,51.52297367,-0.331504076,4,W7 1AY
Caterham,534099,155422,51.28216282,-0.078607299,6,CR3 6LB
Catford,537245,173544,51.44426491,-0.026538499,3,SE6 4XT
Catford Bridge,537363,173595,51.44469463,-0.024821876,3,SE6 4RE
Centrale,532067,165785,51.37576747,-0.103888104,"3,4,5,6",CR0 1XT
Chadwell Heath,547646,187611,51.56804688,0.128901112,5,RM6 4BE
Chafford Hundred,558922,178770,51.4855545,0.287475701,7,RM16 6QQ
Chalfont and Latimer,499610,197550,51.66790748,-0.561067777,8,HP7 9PR
Chalk Farm,528126,184421,51.54414909,-0.153733071,2,NW3 2BP
Chancery Lane,531096,181642,51.51849402,-0.111962027,1,WC1V 6DR
Charing Cross,530234,180492,51.50835863,-0.124802938,1,WC2N 5HS
Charlton,541108,178387,51.48683499,0.030941645,3,SE7 7AB
Cheam,524444,163334,51.35546024,-0.214211284,5,SM3 8RZ
Chelsfield,546944,164021,51.35626458,0.10898412,6,BR6 6EU
Chesham,496048,201650,51.70538002,-0.611429657,9,HP5 1DH
Cheshunt,536652,202307,51.70287331,-0.023887415,8,EN8 9AQ
Chessington North,518415,164168,51.36424344,-0.300476129,6,KT9 2RT
Chessington South,517974,163319,51.35670453,-0.307089021,6,KT9 2DD
Chigwell,543835,193045,51.61785787,0.076179215,4,IG7 6NT
Chingford,539173,194628,51.63325337,0.009514326,5,E4 6AL
Chipstead,527689,158275,51.30927498,-0.169445869,6,CR5 3TD
Chislehurst,543205,169405,51.40559841,0.057491821,5,BR7 5NN
Chiswick,520438,177182,51.48078149,-0.267013322,3,W4 2QE
Chiswick Park,520352,178692,51.49437071,-0.267736922,3,W4 5NE
Chorleywood,502596,196092,51.65426593,-0.518333927,7,WD3 5ND
Church Street,532041,165555,51.37370656,-0.104346829,"3,4,5,6",CR0 1RN
City Thameslink,531688,181150,51.51393507,-0.103618449,1,EC4M 7JH
Clapham Common,529428,175291,51.46180367,-0.138314902,2,SW4 7AJ
Clapham High Street,529824,175709,51.46546951,-0.132464503,2,SW4 6DQ
Clapham Junction,527198,175520,51.46436678,-0.170315002,2,SW11 2QP
Clapham North,530003,175652,51.46491621,-0.129910063,2,SW4 7TS
Clapham South,528782,174259,51.45267649,-0.14798407,"2,3",SW12 9DU
Clapton,534748,186531,51.56156909,-0.057489458,2,E5 9JP
Clock House,536367,169545,51.40854056,-0.040702093,4,BR3 4PR
Cockfosters,528087,196424,51.65202448,-0.149916711,5,EN4 0DZ
Colindale,521295,189937,51.59523052,-0.250287544,4,NW9 5HR
Colliers Wood,526831,170436,51.41875919,-0.1774151,3,SW19 2HR
Coombe Lane,535201,164089,51.35978931,-0.059531571,"3,4,5,6",CR0 5RF
Coulsdon South,529869,159056,51.31580094,-0.13790309,6,CR5 3EA
Coulsdon Town,530098,159802,51.32245295,-0.134347057,6,CR5 2JA
Covent Garden,530242,180982,51.51276023,-0.124506895,1,WC2E 9JT
Crayford,551479,174424,51.44854676,0.178502716,6,DA1 3PY
Crews Hill,530973,200109,51.68447461,-0.106844101,6,EN2 8AY
Cricklewood,524009,185907,51.55842267,-0.212547934,3,NW2 1HL
Crofton Park,536517,174739,51.45517929,-0.036546582,3,SE4 2RA
Crossharbour and London Arena,537896,179301,51.49583998,-0.014932813,2,E14 8AD
Crouch Hill,530586,187508,51.5713271,-0.117133285,3,N4 4AU
Croxley,507921,195395,51.64700528,-0.441603798,7,WD3 3DY
Crystal Palace,534120,170557,51.41817035,-0.072607233,"3,4",SE19 2AZ
Custom House,540679,180911,51.50962206,0.02577251,3,E16 3BX
Cutty Sark for Maritime Greenwich,538240,177764,51.48194447,-0.010581867,2,SE10 9SW
Cyprus,543324,180863,51.50852658,0.063840756,3,E6 5PH
Dagenham Dock,548900,183000,51.5262872,0.145031014,5,RM9 6RA
Dagenham East,550284,185033,51.54418734,0.165833432,5,RM10 8AA
Dagenham Heathway,549035,184665,51.54121179,0.14767972,5,RM9 5AN
Dalston Junction,533580,184778,51.54609372,-0.074994205,2,E8 3DL
Dalston Kingsland,533487,185062,51.54866782,-0.076226922,2,E8 2JS
Debden,544275,196133,51.645492,0.083801475,6,IG10 3TG
Denmark Hill,532697,176087,51.46820064,-0.09098787,2,SE5 8BB
Deptford,537165,177395,51.47889008,-0.02619632,2,SE8 3NU
Deptford Bridge,537466,176912,51.47447677,-0.022052429,"2,3",SE10 8BU
Devons Road,537603,182233,51.52225847,-0.018007754,2,E3 3QX
Dollis Hill,522207,185132,51.55185059,-0.238797762,3,NW10 5NB
Drayton Green,516002,180998,51.51600468,-0.32961126,4,W13 0JX
Drayton Park,531426,185499,51.55307831,-0.1057702,2,N5 1NT
Dundonald Road,524741,170233,51.41739815,-0.207527113,"3,4,5,6",SW19 3QJ
Ealing Broadway,517920,180915,51.51486197,-0.302010381,3,W5 2NU
Ealing Common,518963,180426,51.51024866,-0.287151418,3,W5 3LD
Earls Court,525457,178480,51.49135667,-0.194313809,"1,2",SW5 9QA
Earlsfield,526081,173030,51.44223881,-0.187272689,3,SW18 4SW
East Acton,521656,181159,51.51626341,-0.248112225,2,W12 0BP
East Croydon,532904,165801,51.3757161,-0.091863496,5,CR0 1LF
East Dulwich,533449,175375,51.46162558,-0.080436572,2,SE22 8EF
East Finchley,527242,189204,51.58733254,-0.164743886,3,N2 0NW
East Ham,542373,184255,51.53924616,0.051516293,"3,4",E6 2JA
East India,538729,180753,51.50868401,-0.002370332,"2,3",E14 9PS
East Putney,524387,174840,51.45887978,-0.210998234,"2,3",SW15 6SN
Eastcote,511191,187627,51.57655182,-0.396823299,5,HA5 1QZ
Eden Park,537396,167598,51.3907961,-0.026669716,5,BR3 3HQ
Edgware,519527,192009,51.61422962,-0.275093666,5,HA8 7AW
Edgware Road (Bakerloo),527026,181778,51.52064536,-0.170539552,1,W2 1DY
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.51999804,-0.167668254,1,NW1 5DH
Edmonton Green,534273,193590,51.6251157,-0.061639019,4,N9 9DX
Elephant and Castle,531940,179144,51.49584938,-0.100738715,"1,2",SE1 6LW
Elm Park,552446,185647,51.54912458,0.197252682,6,RM12 4RW
Elmers End,535788,168389,51.39829111,-0.049463832,4,BR3 4EJ
Elmstead Woods,542247,170656,51.41708063,0.044229343,4,BR7 5EW
Elstree and Borehamwood,519098,196299,51.65287558,-0.279828619,6,WD6 3LS
Eltham,542690,174962,51.45566222,0.052329308,4,SE9 6UB
Elverson Road,537848,176243,51.46837219,-0.016816376,"2,3",SE8 4LA
Embankment,530406,180380,51.50731249,-0.122367337,1,WC2N 6NS
Emerson Park,553971,187918,51.56911491,0.220222934,6,RM11 2JR
Enfield Chase,532181,196607,51.65272211,-0.090704205,5,EN2 7AA
Enfield Lock,536437,198737,51.67084612,-0.02839107,6,EN3 6BW
Enfield Town,532970,196544,51.65197007,-0.079329922,5,EN1 1YB
Epping,546197,201552,51.69368617,0.113825553,6,CM16 4HW
Epsom Downs,522805,159756,51.32365944,-0.238970227,6,KT17 4JX
Erith,551075,178096,51.48164768,0.174261289,6,DA8 1TY
Essex Road,532114,184132,51.54063331,-0.096365526,2,N1 2SU
Euston,529587,182735,51.52866433,-0.133296472,1,NW1 2DU
Euston Square,529587,182735,51.52866433,-0.133296472,1,NW1 2BN
Ewell East,522571,162152,51.34524388,-0.241503001,6,KT17 1QR
Ewell West,521473,162654,51.34999114,-0.257089133,6,KT17 1TU
Fairlop,544902,190655,51.59610954,0.090593279,4,IG6 3HD
Falconwood,544498,175394,51.4590858,0.078509693,4,SE9 2RN
Farringdon,531585,181844,51.52019569,-0.104843062,1,EC1M 6BY
Feltham,510601,173298,51.44787917,-0.409824481,6,TW13 4BY
Fenchurch Street,533434,180932,51.51156671,-0.078554153,1,EC3M 4AJ
Fieldway,537665,163212,51.35131701,-0.024503265,"3,4,5,6",CR0 0QA
Finchley Central,525232,190664,51.60090325,-0.193220637,4,N3 2RY
Finchley Road,526293,184703,51.5470962,-0.180050561,2,NW6 3BS
Finchley Road and Frognal,526035,185033,51.5501195,-0.183651203,2,NW3 5HT
Finsbury Park,531385,186784,51.56463545,-0.105881486,2,N4 3JU
Forest Gate,540447,185322,51.54931612,0.024189092,3,E7 0QH
Forest Hill,535398,172943,51.43930831,-0.053328504,3,SE23 3HD
Fulham Broadway,525402,177244,51.4802609,-0.195544164,2,SW6 1BY
Fulwell,514832,171841,51.43394257,-0.349438525,6,TW2 5NY
Gallions Reach,543873,180935,51.50903414,0.071775394,3,E6 6FZ
Gants Hill,543266,188432,51.57655295,0.066084098,4,IG2 6UD
George Street,532432,165594,51.37396606,-0.098718105,"3,4,5,6",CRO 1LA
Gidea Park,552941,189306,51.58186575,0.205976981,6,RM2 6BX
Gipsy Hill,533321,171237,51.42446952,-0.083835168,3,SE19 1PL
Gloucester Road,526196,178848,51.49449956,-0.18354356,1,SW7 4SF
Golders Green,525199,187471,51.57221553,-0.194834559,3,NW11 7RN
Goldhawk Road,523131,179616,51.50207697,-0.227404006,2,W12 8EG
Goodge Street,529505,181837,51.52061311,-0.13480769,1,W1T 2HF
Goodmayes,546462,187369,51.56618098,0.111729654,4,IG3 9UH
Gordon Hill,531889,197799,51.66350224,-0.0944733,5,EN2 0QU
Gospel Oak,528263,185677,51.55540529,-0.151301033,2,NW5 1LT
Grange Hill,544963,192590,51.61348043,0.09227253,4,IG7 5QB
Grange Park,531753,195472,51.64262308,-0.097314424,5,N21 1RE
Gravel Hill,536359,163536,51.35454326,-0.043121699,"3,4,5,6",CR0 5BJ
Great Portland Street,528861,182174,51.5237888,-0.143961425,1,W1W 5PP
Green Park,529012,180283,51.50676048,-0.142477576,1,W1J 7BX
Greenford,514808,183861,51.54198007,-0.34587874,4,UB6 8PR
Greenwich,537956,177267,51.47754766,-0.014863084,"2,3",SE10 8JQ
Grove Park,540702,172099,51.43043264,0.022598502,4,SE12 0PW
Gunnersbury,519843,178401,51.49186341,-0.275164136,3,W4 5RP
Hackbridge,528582,165929,51.3778609,-0.153879198,4,SM6 7BJ
Hackney Central,534922,184943,51.54725744,-0.055589512,2,E8 1LL
Hackney Downs,534598,185137,51.54907809,-0.060185105,2,E8 1LA
Hackney Wick,537036,184588,51.54355841,-0.025259503,2,E9 5ER
Hadley Wood,526197,198199,51.66840287,-0.17658119,6,EN4 0EJ
Haggerston,533560,183953,51.53868473,-0.075595258,2,E8 4DY
Hainault,545124,191411,51.60284533,0.09410855,4,IG6 3BD
Hammersmith (District),523474,178483,51.49181978,-0.222860929,2,W6 9YA
Hammersmith (Met.),523346,178665,51.49348335,-0.224640157,2,W6 0ED
Hampstead,526408,185757,51.5565426,-0.17801456,2,NW3 1QG
Hampstead Heath,527344,185631,51.55519992,-0.164566183,3,NW3 2QD
Hampton,513299,169797,51.41587955,-0.372135254,6,TW12 2HU
Hampton Court,515376,168332,51.40229388,-0.342757152,6,KT8 9AE
Hampton Wick,517407,169752,51.41464004,-0.31310361,6,KT1 4DQ
Hanger Lane,518506,182621,51.53007203,-0.292996146,3,W5 1DL
Hanwell,515426,180560,51.51218596,-0.338051884,4,W7 3EB
Harlesden,520952,183367,51.53625833,-0.257495674,3,NW10 8UT
Harold Wood,554858,190626,51.59320222,0.234204073,6,RM3 0BL
Harringay,531395,188200,51.57735791,-0.105208253,3,N4 1RW
Harringay Green Lanes,531880,188189,51.57714589,-0.098217392,3,N4 2NU
Harrington Road,535002,168535,51.39979057,-0.060699955,"3,4,5,6",SE25 4NF
Harrow and Wealdstone,515486,189508,51.59259463,-0.334252685,5,HA3 7RF
Harrow-on-the-Hill,515329,188035,51.57938812,-0.337001517,5,HA1 1BB
Hatch End,513024,191370,51.6098285,-0.369178781,6,HA5 5LZ
Hatton Cross,509614,175369,51.4666853,-0.423380563,"5,6",TW6 3PF
Haydons Road,526012,171161,51.42545732,-0.188929359,3,SW19 8SL
Hayes,540003,165993,51.37573671,0.010142652,5,BR2 7EN
Hayes and Harlington,509717,179417,51.50304907,-0.420641904,5,UB3 4BX
Headstone Lane,513892,190574,51.60249963,-0.356907514,5,HA2 6NB
Heathrow Terminal 4,507939,174565,51.45978043,-0.44772959,6,TW6 3AA
Heathrow Terminal 5,504934,175642,51.47002543,-0.490647503,6,TW6 2GA
Heathrow Terminals 1 2 3,507587,175838,51.4712894,-0.452407226,6,TW6 1EB
Hendon,522143,188271,51.58007498,-0.238630521,"3,4",NW4 4PT
Hendon Central,522959,188631,51.58313305,-0.22673414,"3,4",NW4 3AS
Herne Hill,531934,174486,51.45399137,-0.102562908,"2,3",SE24 0JW
Heron Quays,537386,180127,51.50338657,-0.021953532,2,E14 4JH
High Barnet,525027,196310,51.65168825,-0.19416538,5,EN5 5RP
High Street Kensington,525622,179527,51.50072945,-0.191566058,1,W8 5SA
Highams Park,538581,191841,51.60835599,-0.000135286,4,E4 9LA
Highbury and Islington,531562,184770,51.54649551,-0.10408214,2,N1 1SE
Highgate,528503,188158,51.57764662,-0.146934862,3,N6 5BH
Hillingdon,507567,185015,51.55377752,-0.449897993,6,UB10 9NR
Hither Green,538997,174497,51.45240172,-0.000970912,3,SE13 5NF
Holborn,530553,181488,51.51723574,-0.119840507,1,WC2B 6AA
Holland Park,524564,180215,51.50714648,-0.206557778,2,W11 3RB
Holloway Road,530930,185457,51.5528161,-0.112935697,2,N7 8HS
Homerton,536108,184901,51.54659545,-0.038512347,2,E9 5SD
Honor Oak Park,536002,174221,51.45064824,-0.044153121,3,SE23 3LE
Hornchurch,553931,186274,51.55435511,0.218926997,6,RM12 6LS
Hornsey,530911,189202,51.58647485,-0.111815638,3,N8 8SE
Hounslow,513902,174998,51.46250482,-0.361796256,5,TW3 3DL
Hounslow Central,513592,175928,51.47092577,-0.365958129,4,TW3 1JG
Hounslow East,514327,176254,51.47370789,-0.355275322,4,TW3 4AB
Hounslow West,512215,176140,51.47310572,-0.385707629,5,TW3 3DH
Hoxton,533582,183142,51.53139161,-0.075585647,"1,2",E2 8HR
Hyde Park Corner,528330,179801,51.50258401,-0.152474114,1,SW1X 7LY
Ickenham,508127,185811,51.56082505,-0.441579513,6,UB10 8PD
Ilford,543501,186501,51.55914224,0.068685191,4,IG1 4DU
Imperial Wharf,526299,176674,51.47493893,-0.182837505,2,SW6 2HA
Island Gardens,538228,178432,51.48795009,-0.010493303,2,E14 3FA
Isleworth,515570,176430,51.47503742,-0.337328765,4,TW7 4BX
Kenley,532400,160100,51.32460031,-0.101219713,6,CR8 5JA
Kennington,531660,178337,51.48866246,-0.105070613,2,SE11 4JQ
Kensal Green,523241,182784,51.53052421,-0.224713384,2,NW10 5JT
Kensal Rise,523501,183201,51.53421506,-0.220820979,2,NW10 3NT
Kensington (Olympia),524324,179178,51.4978797,-0.210379242,2,W14 0NE
Kent House,535999,170000,51.41271766,-0.045815553,4,BR3 1HY
Kentish Town,529029,185096,51.55000952,-0.140471264,2,NW5 2AA
Kentish Town West,528603,184700,51.54654797,-0.14675641,2,NW5 3LD
Kenton,516833,188304,51.58149628,-0.315216867,4,HA3 0XS
Kew Bridge,518898,178172,51.49000462,-0.288846495,3,TW8 0EF
Kew Gardens,519173,176708,51.47678914,-0.285381011,"3,4",TW9 3PZ
Kidbrooke,540999,175697,51.46269019,0.028300239,3,SE3 9NF
Kilburn,524589,184644,51.54694444,-0.204632719,2,NW6 7QL
Kilburn High Road,525553,183591,51.53726774,-0.191113106,2,NW6 7QL
Kilburn Park,525361,183349,51.53513554,-0.193966057,2,NW6 5AD
King George V,543231,180135,51.50200861,0.062206214,3,E16 2JF
King Henry's Drive,537978,162558,51.3453641,-0.020264757,"3,4,5,6",CR0 0LH
King's Cross,530312,182991,51.53079819,-0.122756421,1,N1 9AL
Kings Cross St. Pancras,530236,182935,51.53031246,-0.12387213,1,N1 9AL
Kingsbury,519361,188739,51.58487652,-0.278601608,4,NW9 9EG
Kingston,518244,169549,51.41264176,-0.30114104,6,KT1 1UJ
Kingswood,524816,156585,51.29472314,-0.211233226,6,KT20 6EN
Knightsbridge,527765,179650,51.5013549,-0.160664486,1,SW3 1ED
Knockholt,548499,162896,51.34575194,0.130831039,6,TN14 7HR
Ladbroke Grove,524284,181328,51.51721067,-0.210198172,2,W10 6HJ
Ladywell,537716,174884,51.45619214,-0.019244401,3,SE13 7XB
Lambeth North,531165,179489,51.49912995,-0.111768261,1,SE1 7XG
Lancaster Gate,526711,180796,51.51189094,-0.175429929,1,W2 4QH
Langdon Park,537807,181863,51.51888394,-0.015213799,2,E14 6NW
Latimer Road,523789,180954,51.5139581,-0.217459666,2,W10 6SZ
Lea Bridge,536175,187133,51.56663626,-0.036683158,3,E10 7PG
Lebanon Road,533385,165756,51.375199,-0.084973649,"3,4,5,6",CR0 6SF
Lee,540002,174197,51.44945852,0.013364692,3,SE12 9JG
Leicester Square,529987,180812,51.51129118,-0.128242148,1,WC2H 0AP
Lewisham,538163,175863,51.46488071,-0.012432701,"2,3",SE13 7RY
Leyton,538295,186244,51.55813227,-0.006465332,3,E10 5PS
Leyton Midland Road,538150,187490,51.56936424,-0.008066347,3,E10 6JT
Leytonstone,539345,187429,51.56852229,0.009140452,"3,4",E11 1HE
Leytonstone High Road,539298,186903,51.56380734,0.008254469,3,E11 4RE
Limehouse,536150,181087,51.51231216,-0.039380078,2,E14 7JD
Liverpool Street,533160,181596,51.51759826,-0.082249622,1,EC2M 7PR
Lloyd Park,533711,164549,51.36427554,-0.080746273,"3,4,5,6",CR0 5RA
London Bridge,532937,180152,51.50467435,-0.086005598,1,SE1 2SW
London City Airport,542231,180294,51.50368966,0.047872715,3,E16 2DS
London Fields,534795,184212,51.54071884,-0.057699686,2,E8 3PH
Loughborough Junction,531902,175897,51.4666789,-0.102497342,2,SW9 8SA
Loughton,542314,195641,51.64157048,0.055279079,6,IG10 4PD
Lower Sydenham,536831,171372,51.42484684,-0.033330342,4,SE26 5AU
Maida Vale,525967,182792,51.52999506,-0.185432647,2,W9 1JS
Malden Manor,521101,166497,51.38460954,-0.261120416,4,KT3 5PN
Manor House,532074,187482,51.57074714,-0.095684976,"2,3",N4 1BZ
Manor Park,541929,185757,51.55285435,0.04572387,"3,4",E12 5EP
Mansion House,532347,180962,51.51209175,-0.094197658,1,EC4N 6JD
Marble Arch,527875,181056,51.51396549,-0.158571216,1,W1C 2JS
Maryland,539175,184881,51.54566827,0.005681654,3,E15 1SA
Marylebone,527510,181985,51.52239667,-0.163492564,1,NW1 6JJ
Maze Hill,539194,177909,51.48301366,0.003204897,3,SE10 9XG
Merton Park,525182,169798,51.41339161,-0.201342031,"3,4,5,6",SW19 3HA
Mile End,536577,182545,51.52531097,-0.032666084,2,E3 4DH
Mill Hill Broadway,521300,191900,51.61287113,-0.249537068,4,NW7 2JU
Mill Hill East,524057,191460,51.60831664,-0.209895713,4,NW7 1BS
Mitcham,527345,168082,51.39748861,-0.170871647,"3,4,5,6",CR4 4BD
Mitcham Eastfields,528488,169323,51.40838391,-0.154001719,3,CR4 2ND
Mitcham Junction,528292,167611,51.39304257,-0.157436644,4,CR4 4HN
Monument,532907,180814,51.51063042,-0.086188314,1,EC4R 9AA
Moor Park,508563,193509,51.62993067,-0.432913027,"6,7",HA6 2JQ
Moorgate,532688,181677,51.51843714,-0.089017688,1,EC2M 6TX
Morden,525664,168563,51.40218596,-0.194851982,4,SM4 5AZ
Morden Road,525788,169310,51.40887189,-0.192805677,"3,4,5,6",SW19 3BX
Morden South,525301,167900,51.3963077,-0.200301562,4,SM4 5AN
Mornington Crescent,529193,183359,51.53436222,-0.13874435,2,NW1 2JA
Mortlake,520458,175779,51.46816794,-0.267203314,3,SW14 8LN
Motspur Park,522581,167724,51.39531963,-0.239439746,4,KT3 6JJ
Mottingham,542600,173197,51.43982498,0.050324202,4,SE9 4EN
Mudchute,537908,178789,51.49123619,-0.014959945,2,E14 9UW
Neasden,521415,185422,51.55462772,-0.250115045,3,NW10 1PH
New Addington,538187,162255,51.34259051,-0.017383327,"3,4,5,6",CR0 0DE
New Barnet,526502,195996,51.64853677,-0.172969714,5,EN5 1QT
New Beckenham,536718,170463,51.41670555,-0.035304949,4,BR3 1QW
New Cross,536750,177110,51.47642942,-0.032278812,2,SE14 6LD
New Cross Gate,536250,176967,51.47526493,-0.039529052,2,SE14 6AR
New Eltham,544005,172999,51.43769066,0.070444618,4,SE9 2AB
New Malden,521392,168612,51.40355591,-0.256218106,4,KT3 4PX
New Southgate,528672,192218,51.61409367,-0.143009776,4,N11 1QH
Newbury Park,544947,188378,51.57563836,0.090303158,4,IG2 7RN
