"","Overall","taxa"
"Lactobacillus.amylovorus",0.00579532014229694,"Lactobacillus.amylovorus"
"Kocuria.flava",0.00574398541496224,"Kocuria.flava"
"Synechococcus.sp..WH.7803",0.00554049412075767,"Synechococcus.sp..WH.7803"
"Calothrix.sp..NIES.2098",0.00544557471434955,"Calothrix.sp..NIES.2098"
"Planococcus.plakortidis",0.00538000731401336,"Planococcus.plakortidis"
"Paracoccus.yeei",0.00525671254445482,"Paracoccus.yeei"
"Exiguobacterium.sp..AT1b",0.00520552436117952,"Exiguobacterium.sp..AT1b"
"Spirosoma.rigui",0.00520066075351514,"Spirosoma.rigui"
"Hartmannibacter.diazotrophicus",0.00513509002797566,"Hartmannibacter.diazotrophicus"
"Rhodococcus.sp..PBTS.2",0.00494264794711733,"Rhodococcus.sp..PBTS.2"
"Cyanobacterium.aponinum",0.00476995609338723,"Cyanobacterium.aponinum"
"Candidatus.Methylopumilus.turicensis",0.00470929592774874,"Candidatus.Methylopumilus.turicensis"
"Methylotenera.versatilis",0.00461814903554046,"Methylotenera.versatilis"
"Bordetella.petrii",0.00451379586228111,"Bordetella.petrii"
"Micrococcus.luteus",0.00432020128830977,"Micrococcus.luteus"
"Gottschalkia.acidurici",0.00416960635656932,"Gottschalkia.acidurici"
"Planococcus.rifietoensis",0.00416538850378623,"Planococcus.rifietoensis"
"Arthrobacter.sp..QXT.31",0.0041510938024187,"Arthrobacter.sp..QXT.31"
"Mycobacterium.sp..WY10",0.00413297032796612,"Mycobacterium.sp..WY10"
"Calothrix.sp..NIES.3974",0.00407037196506151,"Calothrix.sp..NIES.3974"
"Pedobacter.cryoconitis",0.00400680054533873,"Pedobacter.cryoconitis"
"Anabaena.sp..WA102",0.00397340514862784,"Anabaena.sp..WA102"
"Psychrobacter.arcticus",0.00394873831860099,"Psychrobacter.arcticus"
"Corynebacterium.singulare",0.0039332597631188,"Corynebacterium.singulare"
"Arenibacter.algicola",0.00387061233784666,"Arenibacter.algicola"
"Rothia.mucilaginosa",0.00385768858658882,"Rothia.mucilaginosa"
"Gloeobacter.violaceus",0.00375862537258966,"Gloeobacter.violaceus"
"Leuconostoc.gelidum",0.00375421896125351,"Leuconostoc.gelidum"
"Nostoc.sp..PCC.7107",0.00372524847098874,"Nostoc.sp..PCC.7107"
"Rhodococcus.sp..PBTS.1",0.00367221743923064,"Rhodococcus.sp..PBTS.1"
"Pseudarthrobacter.phenanthrenivorans",0.00354898798552438,"Pseudarthrobacter.phenanthrenivorans"
"Nocardioides.dokdonensis",0.00351680447562258,"Nocardioides.dokdonensis"
"Psychrobacter.sp..AntiMn.1",0.00350214125621045,"Psychrobacter.sp..AntiMn.1"
"Lactobacillus.reuteri",0.00346564355881467,"Lactobacillus.reuteri"
"Paracoccus.aminophilus",0.00338601447951885,"Paracoccus.aminophilus"
"Arthrobacter.sp..PAMC.25486",0.00338582016394245,"Arthrobacter.sp..PAMC.25486"
"Frondihabitans.sp..PAMC.28766",0.00335484418792768,"Frondihabitans.sp..PAMC.28766"
"Pseudarthrobacter.sulfonivorans",0.003318703849808,"Pseudarthrobacter.sulfonivorans"
"Calothrix.sp..PCC.7507",0.00327222582551112,"Calothrix.sp..PCC.7507"
"Leptolyngbya.sp..PCC.7376",0.00323626242236263,"Leptolyngbya.sp..PCC.7376"
"Erythrobacter.seohaensis",0.00321553035729901,"Erythrobacter.seohaensis"
"Pedobacter.sp..PACM.27299",0.00319226882920719,"Pedobacter.sp..PACM.27299"
"Chania.multitudinisentens",0.00314806922348596,"Chania.multitudinisentens"
"Catenulispora.acidiphila",0.00314163415937194,"Catenulispora.acidiphila"
"Deinococcus.radiodurans",0.00313983969888881,"Deinococcus.radiodurans"
"Candidatus.Atelocyanobacterium.thalassa",0.00312683237918603,"Candidatus.Atelocyanobacterium.thalassa"
"Collimonas.pratensis",0.00311102054091222,"Collimonas.pratensis"
"Paracoccus.contaminans",0.00304761341796591,"Paracoccus.contaminans"
"Pleurocapsa.minor",0.00304125256090475,"Pleurocapsa.minor"
"Tessaracoccus.flavus",0.00303058644072013,"Tessaracoccus.flavus"
"Psychrobacter.urativorans",0.0030169210152436,"Psychrobacter.urativorans"
"Pedobacter.steynii",0.00300292207604313,"Pedobacter.steynii"
"Trichormus.azollae",0.00297600777410911,"Trichormus.azollae"
"Pseudoxanthomonas.suwonensis",0.00296668343946835,"Pseudoxanthomonas.suwonensis"
"Synechococcus.sp..JA.2.3B.a.2.13.",0.00294072339648757,"Synechococcus.sp..JA.2.3B.a.2.13."
"Flavobacterium.psychrophilum",0.00292857297597321,"Flavobacterium.psychrophilum"
"Calothrix.sp..336.3",0.00290918028085037,"Calothrix.sp..336.3"
"Corynebacterium.flavescens",0.00288874191474056,"Corynebacterium.flavescens"
"Nocardioides.sp..JS614",0.00287153408372488,"Nocardioides.sp..JS614"
"Bacteroides.vulgatus",0.00286032467904984,"Bacteroides.vulgatus"
"Oscillatoria.acuminata",0.00283210358007174,"Oscillatoria.acuminata"
"Herminiimonas.arsenicoxydans",0.00279360084380498,"Herminiimonas.arsenicoxydans"
"Pontibacter.korlensis",0.00275765508685445,"Pontibacter.korlensis"
"Corynebacterium.kroppenstedtii",0.00274001115585306,"Corynebacterium.kroppenstedtii"
"Bartonella.henselae",0.00269960508716897,"Bartonella.henselae"
"Deinococcus.gobiensis",0.00269372926168579,"Deinococcus.gobiensis"
"Mycobacterium.sp..PYR15",0.00268404961335068,"Mycobacterium.sp..PYR15"
"Truepera.radiovictrix",0.00266697420484895,"Truepera.radiovictrix"
"Pseudomonas.alcaligenes",0.00264157946965244,"Pseudomonas.alcaligenes"
"Rickettsia.amblyommatis",0.00263961088913117,"Rickettsia.amblyommatis"
"Cryobacterium.sp..LW097",0.0026181572921759,"Cryobacterium.sp..LW097"
"Thioclava.nitratireducens",0.00261102632973456,"Thioclava.nitratireducens"
"Corynebacterium.frankenforstense",0.00258880682286535,"Corynebacterium.frankenforstense"
"Flavobacteriaceae.bacterium.3519.10",0.00258787972012438,"Flavobacteriaceae.bacterium.3519.10"
"Rhodoluna.lacicola",0.00257604959728844,"Rhodoluna.lacicola"
"Bacillus.infantis",0.00257203199196117,"Bacillus.infantis"
"Citromicrobium.sp..JL477",0.00255062424763719,"Citromicrobium.sp..JL477"
"Chryseobacterium.taklimakanense",0.00251761394063419,"Chryseobacterium.taklimakanense"
"Rhodococcus.sp..B7740",0.00249715862807788,"Rhodococcus.sp..B7740"
"Hymenobacter.sp..APR13",0.00249661145707181,"Hymenobacter.sp..APR13"
"Corynebacterium.imitans",0.00249464860746864,"Corynebacterium.imitans"
"Theileria.orientalis",0.00249136668694406,"Theileria.orientalis"
"Corynebacterium.camporealensis",0.00248453379013948,"Corynebacterium.camporealensis"
"Streptomyces.lavendulae",0.00246939973102251,"Streptomyces.lavendulae"
"Calothrix.parietina",0.00246178301094121,"Calothrix.parietina"
"Streptomyces.coelicolor",0.00244690881291807,"Streptomyces.coelicolor"
"Rufibacter.sp..DG31D",0.00243232044176162,"Rufibacter.sp..DG31D"
"Hymenobacter.sedentarius",0.00242418206937925,"Hymenobacter.sedentarius"
"Rathayibacter.tritici",0.00242058996472036,"Rathayibacter.tritici"
"Niastella.koreensis",0.00238479258904556,"Niastella.koreensis"
"Pseudoalteromonas.nigrifaciens",0.00237726749150443,"Pseudoalteromonas.nigrifaciens"
"Pasteurella.multocida",0.0023758748124228,"Pasteurella.multocida"
"Candidatus.Nasuia.deltocephalinicola",0.00236031279727922,"Candidatus.Nasuia.deltocephalinicola"
"Carnobacterium.sp..17.4",0.00235175458235708,"Carnobacterium.sp..17.4"
"Cellulomonas.sp..PSBB021",0.00234617289085944,"Cellulomonas.sp..PSBB021"
"Gloeocapsa.sp..PCC.7428",0.00229033974368796,"Gloeocapsa.sp..PCC.7428"
"Corynebacterium.aurimucosum",0.00228721234420289,"Corynebacterium.aurimucosum"
"Variovorax.paradoxus",0.00228428533951501,"Variovorax.paradoxus"
"Planococcus.donghaensis",0.00226863900862019,"Planococcus.donghaensis"
"Arthrobacter.sp..YN",0.00226250867421651,"Arthrobacter.sp..YN"
"Lactobacillus.mucosae",0.00225682583984775,"Lactobacillus.mucosae"
"Tessaracoccus.aquimaris",0.00225295789922374,"Tessaracoccus.aquimaris"
"Planococcus.sp..MB.3u.03",0.00224312692824468,"Planococcus.sp..MB.3u.03"
"Rhodococcus.fascians",0.00223875082422342,"Rhodococcus.fascians"
"Rickettsia.rhipicephali",0.00222942816940751,"Rickettsia.rhipicephali"
"Pseudoxanthomonas.spadix",0.00222345591819149,"Pseudoxanthomonas.spadix"
"Microbacterium.sp..PAMC.28756",0.00222173921403354,"Microbacterium.sp..PAMC.28756"
"Runella.slithyformis",0.00222133381034505,"Runella.slithyformis"
"Flavobacterium.crassostreae",0.00220592470888064,"Flavobacterium.crassostreae"
"Kluyveromyces.marxianus",0.00220299421624956,"Kluyveromyces.marxianus"
"Candidatus.Portiera.aleyrodidarum",0.00219394937726462,"Candidatus.Portiera.aleyrodidarum"
"Clavibacter.michiganensis",0.00218405502941522,"Clavibacter.michiganensis"
"Nostocales.cyanobacterium.HT.58.2",0.0021713838889852,"Nostocales.cyanobacterium.HT.58.2"
"Pseudonocardia.sp..AL041005.10",0.00216662310543468,"Pseudonocardia.sp..AL041005.10"
"Collinsella.aerofaciens",0.00215541582796382,"Collinsella.aerofaciens"
"Renibacterium.salmoninarum",0.0021531965343947,"Renibacterium.salmoninarum"
"Staphylococcus.pettenkoferi",0.00214884926408588,"Staphylococcus.pettenkoferi"
"Gilliamella.apicola",0.00213836099515715,"Gilliamella.apicola"
"Shewanella.sp..FDAARGOS_354",0.00213557105856682,"Shewanella.sp..FDAARGOS_354"
"Gardnerella.vaginalis",0.00211588157173598,"Gardnerella.vaginalis"
"Brochothrix.thermosphacta",0.00211434777271444,"Brochothrix.thermosphacta"
"Entomoplasma.somnilux",0.00210590375030023,"Entomoplasma.somnilux"
"Rhodococcus.sp..WMMA185",0.00207686659870669,"Rhodococcus.sp..WMMA185"
"Lactobacillus.sakei",0.00204273375978987,"Lactobacillus.sakei"
"Bifidobacterium.thermophilum",0.00204143579266907,"Bifidobacterium.thermophilum"
"Bacillus.sp..X1.2014.",0.00203577991260589,"Bacillus.sp..X1.2014."
"Lactobacillus.acidophilus",0.00199795093695553,"Lactobacillus.acidophilus"
"Lactobacillus.heilongjiangensis",0.00198247065717787,"Lactobacillus.heilongjiangensis"
"Streptococcus.marmotae",0.00198063935299447,"Streptococcus.marmotae"
"Pontibacter.akesuensis",0.00197545824478668,"Pontibacter.akesuensis"
"Streptomyces.pactum",0.00196956156328594,"Streptomyces.pactum"
"cyanobacterium.endosymbiont.of.Epithemia.turgida",0.00196852691640209,"cyanobacterium.endosymbiont.of.Epithemia.turgida"
"Kocuria.palustris",0.00195927695868725,"Kocuria.palustris"
"Deinococcus.geothermalis",0.00194683858876641,"Deinococcus.geothermalis"
"Ketogulonicigenium.robustum",0.00193262575675483,"Ketogulonicigenium.robustum"
"Arthrobacter.alpinus",0.00192453425772367,"Arthrobacter.alpinus"
"Ilumatobacter.coccineus",0.00190895918685777,"Ilumatobacter.coccineus"
"Methylotenera.mobilis",0.00189653671895074,"Methylotenera.mobilis"
"Sphingobium.sp..YBL2",0.00189584953100818,"Sphingobium.sp..YBL2"
"Acinetobacter.sp..LoGeW2.3",0.00189386009586354,"Acinetobacter.sp..LoGeW2.3"
"Corynebacterium.uterequi",0.00189012240038289,"Corynebacterium.uterequi"
"Deinococcus.maricopensis",0.00188747863773175,"Deinococcus.maricopensis"
"Rahnella.aquatilis",0.0018831255656513,"Rahnella.aquatilis"
"Mariprofundus.ferrinatatus",0.00186074499844782,"Mariprofundus.ferrinatatus"
"Psychrobacter.sp..P11G5",0.00185120735913486,"Psychrobacter.sp..P11G5"
"Bifidobacterium.longum",0.00185119107464628,"Bifidobacterium.longum"
"Propionibacterium.freudenreichii",0.00185077880377746,"Propionibacterium.freudenreichii"
"Rufibacter.tibetensis",0.00184441890029314,"Rufibacter.tibetensis"
"Roseomonas.sp..FDAARGOS_362",0.00183827214156368,"Roseomonas.sp..FDAARGOS_362"
"Belliella.baltica",0.0018345122853579,"Belliella.baltica"
"Bifidobacterium.adolescentis",0.00183300056288186,"Bifidobacterium.adolescentis"
"Streptomyces.griseochromogenes",0.00180865179536474,"Streptomyces.griseochromogenes"
"Corynebacterium.striatum",0.00179698538754716,"Corynebacterium.striatum"
"Paracoccus.aminovorans",0.00179380086198769,"Paracoccus.aminovorans"
"Leuconostoc.carnosum",0.00179252709442128,"Leuconostoc.carnosum"
"Staphylococcus.epidermidis",0.00179214711236804,"Staphylococcus.epidermidis"
"Polaribacter.vadi",0.00178827167991799,"Polaribacter.vadi"
"Pandoraea.norimbergensis",0.00178230594788908,"Pandoraea.norimbergensis"
"Leptolyngbya.sp..NIES.3755",0.00177763822089689,"Leptolyngbya.sp..NIES.3755"
"Hymenobacter.sp..PAMC.26628",0.00177538494995126,"Hymenobacter.sp..PAMC.26628"
"Lactobacillus.agilis",0.00177322078570947,"Lactobacillus.agilis"
"Streptococcus.cristatus",0.00176058730535369,"Streptococcus.cristatus"
"Anaerococcus.prevotii",0.00176001938580756,"Anaerococcus.prevotii"
"Bifidobacterium.pseudocatenulatum",0.00175863379388826,"Bifidobacterium.pseudocatenulatum"
"Methylobacterium.radiotolerans",0.00175657696386579,"Methylobacterium.radiotolerans"
"Akkermansia.muciniphila",0.00175632712176238,"Akkermansia.muciniphila"
"Polaromonas.naphthalenivorans",0.00175080134259196,"Polaromonas.naphthalenivorans"
"Microbacterium.hominis",0.0017427746294877,"Microbacterium.hominis"
"Finegoldia.magna",0.00172684546364536,"Finegoldia.magna"
"Pedobacter.heparinus",0.00172134626389303,"Pedobacter.heparinus"
"Carnobacterium.sp..CP1",0.00172125752755293,"Carnobacterium.sp..CP1"
"Sphingobium.cloacae",0.00171711465337503,"Sphingobium.cloacae"
"Janthinobacterium.agaricidamnosum",0.0017096989570433,"Janthinobacterium.agaricidamnosum"
"Flavobacterium.indicum",0.00170527828153401,"Flavobacterium.indicum"
"Flavobacterium.branchiophilum",0.00170019955217816,"Flavobacterium.branchiophilum"
"Bacteroides.caccae",0.00169704012205414,"Bacteroides.caccae"
"Serinicoccus.sp..JLT9",0.00168180517851871,"Serinicoccus.sp..JLT9"
"Bifidobacterium.bifidum",0.00167922257467111,"Bifidobacterium.bifidum"
"Fusobacterium.hwasookii",0.00166269091432675,"Fusobacterium.hwasookii"
"Chryseobacterium.camelliae",0.00166127774305572,"Chryseobacterium.camelliae"
"Halalkalicoccus.jeotgali",0.00165136645118075,"Halalkalicoccus.jeotgali"
"Cyanobium.gracile",0.00164328814985851,"Cyanobium.gracile"
"Bartonella.apis",0.00163383419290396,"Bartonella.apis"
"Rhodoferax.saidenbachensis",0.00162817979095067,"Rhodoferax.saidenbachensis"
"Bifidobacterium.catenulatum",0.00162723893470483,"Bifidobacterium.catenulatum"
"Spiroplasma.taiwanense",0.00162472157124264,"Spiroplasma.taiwanense"
"Deinococcus.soli.Cha.et.al..2016",0.00161906022809943,"Deinococcus.soli.Cha.et.al..2016"
"Cellulomonas.flavigena",0.00161566585771284,"Cellulomonas.flavigena"
"Oscillatoria.nigro.viridis",0.00161265812744252,"Oscillatoria.nigro.viridis"
"Staphylococcus.hyicus",0.00160318442712853,"Staphylococcus.hyicus"
"Magnetospirillum.sp..ME.1",0.00159239514428209,"Magnetospirillum.sp..ME.1"
"Capnocytophaga.canimorsus",0.00157062251767085,"Capnocytophaga.canimorsus"
"Corynebacterium.doosanense",0.00156812592577122,"Corynebacterium.doosanense"
"Acinetobacter.junii",0.00156692911252102,"Acinetobacter.junii"
"Lysobacter.capsici",0.00156394573618236,"Lysobacter.capsici"
"Pseudopedobacter.saltans",0.0015634007947156,"Pseudopedobacter.saltans"
"Lactobacillus.amylolyticus",0.00156104294213648,"Lactobacillus.amylolyticus"
"Acinetobacter.sp..TGL.Y2",0.00155566216927195,"Acinetobacter.sp..TGL.Y2"
"Geitlerinema.sp..PCC.7407",0.0015482769659806,"Geitlerinema.sp..PCC.7407"
"Variibacter.gotjawalensis",0.00154428687385157,"Variibacter.gotjawalensis"
"Streptococcus.salivarius",0.0015418081898667,"Streptococcus.salivarius"
"Leuconostoc.lactis",0.00153985010466432,"Leuconostoc.lactis"
"Chryseobacterium.sp..IHB.B.17019",0.00153330899874219,"Chryseobacterium.sp..IHB.B.17019"
"Defluviimonas.alba",0.00151954592558967,"Defluviimonas.alba"
"Bifidobacterium.dentium",0.0015195424817395,"Bifidobacterium.dentium"
"Psychromonas.ingrahamii",0.00150586945429809,"Psychromonas.ingrahamii"
"Tsukamurella.paurometabola",0.00149220548032181,"Tsukamurella.paurometabola"
"Caulobacter.mirabilis",0.00148603252567796,"Caulobacter.mirabilis"
"Acinetobacter.haemolyticus",0.00147672957086562,"Acinetobacter.haemolyticus"
"Sphingopyxis.sp..LPB0140",0.00147559884121641,"Sphingopyxis.sp..LPB0140"
"Streptococcus.parasanguinis",0.00147480482482661,"Streptococcus.parasanguinis"
"Moraxella.osloensis",0.00147300738321582,"Moraxella.osloensis"
"Acinetobacter.sp..TTH0.4",0.00147231803232851,"Acinetobacter.sp..TTH0.4"
"Dermacoccus.nishinomiyaensis",0.0014719062865598,"Dermacoccus.nishinomiyaensis"
"Streptomyces.sp..SAT1",0.00146750551235022,"Streptomyces.sp..SAT1"
"Aerococcus.viridans",0.0014597892636807,"Aerococcus.viridans"
"Sphingobium.sp..MI1205",0.00145925211579047,"Sphingobium.sp..MI1205"
"Crinalium.epipsammum",0.00144847500985432,"Crinalium.epipsammum"
"Acinetobacter.bereziniae",0.00144611273417707,"Acinetobacter.bereziniae"
"Corynebacterium.glaucum",0.00144578384213252,"Corynebacterium.glaucum"
"Jonesia.denitrificans",0.00143913478548934,"Jonesia.denitrificans"
"Bifidobacterium.breve",0.00143856850442258,"Bifidobacterium.breve"
"Deinococcus.puniceus",0.0014379511625796,"Deinococcus.puniceus"
"Gramella.forsetii",0.00142863039114237,"Gramella.forsetii"
"Altererythrobacter.epoxidivorans",0.00142575565738921,"Altererythrobacter.epoxidivorans"
"Bacillus.subtilis",0.00141811400613733,"Bacillus.subtilis"
"Leuconostoc.citreum",0.00141742544986222,"Leuconostoc.citreum"
"Planococcus.kocurii",0.00141679999626187,"Planococcus.kocurii"
"Pseudopropionibacterium.propionicum",0.00141679436033388,"Pseudopropionibacterium.propionicum"
"Candidatus.Koribacter.versatilis",0.00141426984227315,"Candidatus.Koribacter.versatilis"
"Oblitimonas.alkaliphila",0.00141030442160727,"Oblitimonas.alkaliphila"
"Delftia.acidovorans",0.00140597883114636,"Delftia.acidovorans"
"Deinococcus.proteolyticus",0.00140047526731085,"Deinococcus.proteolyticus"
"Psychroflexus.torquis",0.00139744169607638,"Psychroflexus.torquis"
"Lactobacillus.koreensis",0.00139668937744422,"Lactobacillus.koreensis"
"Terriglobus.roseus",0.00139527269905578,"Terriglobus.roseus"
"Flavobacterium.commune",0.00139360468148317,"Flavobacterium.commune"
"Cutibacterium.granulosum",0.00139234487888954,"Cutibacterium.granulosum"
"Oceanisphaera.profunda",0.00138878192501703,"Oceanisphaera.profunda"
"Bacillus.glycinifermentans",0.00138640306139181,"Bacillus.glycinifermentans"
"Bacillus.cytotoxicus",0.0013842963884862,"Bacillus.cytotoxicus"
"Rhizorhabdus.dicambivorans",0.00137656505385206,"Rhizorhabdus.dicambivorans"
"Glaciecola.nitratireducens",0.00137467493266541,"Glaciecola.nitratireducens"
"Microcoleus.sp..PCC.7113",0.0013729193871638,"Microcoleus.sp..PCC.7113"
"Microbacterium.chocolatum",0.00137182482322777,"Microbacterium.chocolatum"
"Streptococcus.thermophilus",0.00137018946699911,"Streptococcus.thermophilus"
"Rickettsia.endosymbiont.of.Bemisia.tabaci",0.00136233942278015,"Rickettsia.endosymbiont.of.Bemisia.tabaci"
"Pantoea.rwandensis",0.00135941227823663,"Pantoea.rwandensis"
"Lactobacillus.brevis",0.00135755749851751,"Lactobacillus.brevis"
"Pimelobacter.simplex",0.00135209007798031,"Pimelobacter.simplex"
"Methylobacterium.aquaticum",0.00134810639589992,"Methylobacterium.aquaticum"
"Sphingomonas.taxi",0.00134772344799138,"Sphingomonas.taxi"
"Celeribacter.indicus",0.00133830352758902,"Celeribacter.indicus"
"Spirosoma.radiotolerans",0.00133778146617342,"Spirosoma.radiotolerans"
"Chondrocystis.sp..NIES.4102",0.00133616860334008,"Chondrocystis.sp..NIES.4102"
"Moraxella.bovoculi",0.00133552267577724,"Moraxella.bovoculi"
"Porphyrobacter.neustonensis",0.00133481672895968,"Porphyrobacter.neustonensis"
"Granulicella.tundricola",0.00132563379774521,"Granulicella.tundricola"
"Hymenobacter.sp..DG25B",0.00132163807077906,"Hymenobacter.sp..DG25B"
"Corynebacterium.jeikeium",0.00132138590219375,"Corynebacterium.jeikeium"
"Bacillus.megaterium",0.0013199634908027,"Bacillus.megaterium"
"Arsenicicoccus.sp..oral.taxon.190",0.00131539421658467,"Arsenicicoccus.sp..oral.taxon.190"
"Jeotgalibaca.dankookensis",0.0013100422936296,"Jeotgalibaca.dankookensis"
"Lutibacter.profundi",0.0013099720849609,"Lutibacter.profundi"
"Haemophilus.parainfluenzae",0.00130895095661864,"Haemophilus.parainfluenzae"
"Aerococcus.urinae",0.00130679591287491,"Aerococcus.urinae"
"Tessaracoccus.sp..T2.5.30",0.00130408672815213,"Tessaracoccus.sp..T2.5.30"
"Gemmatirosa.kalamazoonesis",0.00130365409196282,"Gemmatirosa.kalamazoonesis"
"Rhodococcus.rhodochrous",0.00130058244243059,"Rhodococcus.rhodochrous"
"Actinomyces.sp..oral.taxon.414",0.00129208749031216,"Actinomyces.sp..oral.taxon.414"
"Corynebacterium.sp..ATCC.6931",0.00129112704252228,"Corynebacterium.sp..ATCC.6931"
"Sulfuricurvum.kujiense",0.00128956185562169,"Sulfuricurvum.kujiense"
"Sphingomonas.sp..LK11",0.00126993703127222,"Sphingomonas.sp..LK11"
"Lactobacillus.lindneri",0.00126666727834772,"Lactobacillus.lindneri"
"Bacteroides.dorei",0.00124911296799424,"Bacteroides.dorei"
"Hymenobacter.sp..DG25A",0.00124608744101483,"Hymenobacter.sp..DG25A"
"Paracoccus.zhejiangensis",0.00124433075275591,"Paracoccus.zhejiangensis"
"Eremothecium.gossypii",0.00123871811036581,"Eremothecium.gossypii"
"Nakamurella.multipartita",0.0012334773753665,"Nakamurella.multipartita"
"Corynebacterium.callunae",0.00123158097032738,"Corynebacterium.callunae"
"Prevotella.denticola",0.00123127177918078,"Prevotella.denticola"
"Streptococcus.sanguinis",0.00121945602920109,"Streptococcus.sanguinis"
"Rufibacter.sp..DG15C",0.00121936414187154,"Rufibacter.sp..DG15C"
"Lysinibacillus.sphaericus",0.00121850838922535,"Lysinibacillus.sphaericus"
"Prevotella.ruminicola",0.00121672741305386,"Prevotella.ruminicola"
"Corynebacterium.casei",0.00121123646426575,"Corynebacterium.casei"
"Streptococcus.merionis",0.00121070255288636,"Streptococcus.merionis"
"Cytophaga.hutchinsonii",0.00120691258896976,"Cytophaga.hutchinsonii"
"Corynebacterium.cystitidis",0.0011999372944665,"Corynebacterium.cystitidis"
"Desulfohalobium.retbaense",0.00119983400658689,"Desulfohalobium.retbaense"
"Rhizobacter.gummiphilus",0.0011972933230975,"Rhizobacter.gummiphilus"
"Acinetobacter.soli",0.00119502548472679,"Acinetobacter.soli"
"Cyanothece.sp..PCC.7425",0.00119233936439576,"Cyanothece.sp..PCC.7425"
"Bacillus.sp..1NLA3E",0.00118913674835828,"Bacillus.sp..1NLA3E"
"Gordonia.bronchialis",0.00118898879120397,"Gordonia.bronchialis"
"Microbacterium.testaceum",0.00118690804543059,"Microbacterium.testaceum"
"Sphingobacteriaceae.bacterium.GW460.11.11.14.LB5",0.00118378765505312,"Sphingobacteriaceae.bacterium.GW460.11.11.14.LB5"
"Bacillus.coagulans",0.00117784214608025,"Bacillus.coagulans"
"Herbaspirillum.rubrisubalbicans",0.00117581280725942,"Herbaspirillum.rubrisubalbicans"
"Seonamhaeicola.sp..S2.3",0.00117425350280489,"Seonamhaeicola.sp..S2.3"
"Paracoccus.denitrificans",0.00117156179564814,"Paracoccus.denitrificans"
"Sphingomonas.hengshuiensis",0.00117016304096733,"Sphingomonas.hengshuiensis"
"Brachybacterium.ginsengisoli",0.0011675917721604,"Brachybacterium.ginsengisoli"
"Pseudonocardia.sp..HH130630.07",0.00116294552150171,"Pseudonocardia.sp..HH130630.07"
"Muricauda.lutaonensis",0.00116285941809352,"Muricauda.lutaonensis"
"Granulicella.mallensis",0.001161858511802,"Granulicella.mallensis"
"Haliscomenobacter.hydrossis",0.00116130241571202,"Haliscomenobacter.hydrossis"
"Arthrobacter.sp..YC.RL1",0.00116049972991942,"Arthrobacter.sp..YC.RL1"
"Sporosarcina.sp..P37",0.00115573591190542,"Sporosarcina.sp..P37"
"Dermabacter.vaginalis",0.00115484173940318,"Dermabacter.vaginalis"
"Nocardioides.sp..78",0.00115439162946761,"Nocardioides.sp..78"
"Acinetobacter.schindleri",0.00115219880129872,"Acinetobacter.schindleri"
"Moorea.producens",0.00114914396340381,"Moorea.producens"
"Haemophilus.influenzae",0.001138935229,"Haemophilus.influenzae"
"Hymenobacter.swuensis",0.00113546800125906,"Hymenobacter.swuensis"
"Bacteroides.helcogenes",0.00113340877531542,"Bacteroides.helcogenes"
