"","Overall","taxa"
"Staphylococcus.saprophyticus",0.000556431588847236,"Staphylococcus.saprophyticus"
"Actinomyces.oris",0.000550276233348263,"Actinomyces.oris"
"Kocuria.flava",0.000547469431465427,"Kocuria.flava"
"Rhodococcus.sp..BH4",0.000531397220069878,"Rhodococcus.sp..BH4"
"Psychrobacter.sp..AntiMn.1",0.000528837271888588,"Psychrobacter.sp..AntiMn.1"
"Flavobacteriaceae.bacterium.3519.10",0.000524710888688834,"Flavobacteriaceae.bacterium.3519.10"
"Arthrobacter.sp..LS16",0.000522810094155419,"Arthrobacter.sp..LS16"
"Kluyveromyces.marxianus",0.000517233685654717,"Kluyveromyces.marxianus"
"Lysinibacillus.sp..YS11",0.000515567275931114,"Lysinibacillus.sp..YS11"
"Ralstonia.solanacearum",0.00051190771076827,"Ralstonia.solanacearum"
"Cutibacterium.granulosum",0.000505060732322662,"Cutibacterium.granulosum"
"Nakamurella.multipartita",0.000489317158807918,"Nakamurella.multipartita"
"Methylobacterium.populi",0.000481333283645637,"Methylobacterium.populi"
"Variovorax.boronicumulans",0.000477663529290957,"Variovorax.boronicumulans"
"Paracoccus.contaminans",0.000476444351661543,"Paracoccus.contaminans"
"Lawsonella.clevelandensis",0.000470142068956514,"Lawsonella.clevelandensis"
"Sphingomonas.panacis",0.000451742059060518,"Sphingomonas.panacis"
"Staphylococcus.lugdunensis",0.000450422431468522,"Staphylococcus.lugdunensis"
"Massilia.sp..B2",0.000449590429743539,"Massilia.sp..B2"
"Ottowia.sp..oral.taxon.894",0.00044743909903847,"Ottowia.sp..oral.taxon.894"
"Arthrobacter.sp..YC.RL1",0.00044621969051625,"Arthrobacter.sp..YC.RL1"
"Sphingomonas.taxi",0.000444872279333572,"Sphingomonas.taxi"
"Psychrobacter.sp..DAB_AL43B",0.000438674856919213,"Psychrobacter.sp..DAB_AL43B"
"Rhodopseudomonas.palustris",0.000433833371434396,"Rhodopseudomonas.palustris"
"Mycobacterium.chelonae",0.000432076580891231,"Mycobacterium.chelonae"
"Pseudomonas.stutzeri",0.000428104506451322,"Pseudomonas.stutzeri"
"Lysinibacillus.sphaericus",0.000418692327778781,"Lysinibacillus.sphaericus"
"Sorangium.cellulosum",0.0004159018790883,"Sorangium.cellulosum"
"Rhodococcus.sp..008",0.000406270597512293,"Rhodococcus.sp..008"
"Streptococcus.gordonii",0.000406244330807182,"Streptococcus.gordonii"
"Xanthomonas.vesicatoria",0.000404980196554059,"Xanthomonas.vesicatoria"
"Gordonia.phthalatica",0.000402273870252873,"Gordonia.phthalatica"
"Agromyces.aureus",0.000396760951845176,"Agromyces.aureus"
"Aeromonas.sp..ASNIH7",0.000383365847023567,"Aeromonas.sp..ASNIH7"
"Sphingobium.yanoikuyae",0.000380127680051536,"Sphingobium.yanoikuyae"
"Achromobacter.xylosoxidans",0.000378974011839618,"Achromobacter.xylosoxidans"
"Streptomyces.formicae",0.000378674834253231,"Streptomyces.formicae"
"Cryobacterium.arcticum",0.000375313569480003,"Cryobacterium.arcticum"
"Hymenobacter.swuensis",0.000369377960222136,"Hymenobacter.swuensis"
"Hymenobacter.sp..DG25B",0.000363318339995848,"Hymenobacter.sp..DG25B"
"Kocuria.rhizophila",0.00036224734410608,"Kocuria.rhizophila"
"Corynebacterium.sp..ATCC.6931",0.000353612475441639,"Corynebacterium.sp..ATCC.6931"
"Psychrobacter.arcticus",0.000353551040903796,"Psychrobacter.arcticus"
"Gemmatirosa.kalamazoonesis",0.000349701119930493,"Gemmatirosa.kalamazoonesis"
"Pimelobacter.simplex",0.000348856366881722,"Pimelobacter.simplex"
"Psychrobacter.cryohalolentis",0.000343950657862152,"Psychrobacter.cryohalolentis"
"Frankia.sp..EAN1pec",0.000343085542847264,"Frankia.sp..EAN1pec"
"Cupriavidus.basilensis",0.000338544873654669,"Cupriavidus.basilensis"
"Bordetella.petrii",0.000335569139232706,"Bordetella.petrii"
"Thielavia.terrestris",0.000334777343378589,"Thielavia.terrestris"
"Sphingopyxis.macrogoltabida",0.000323375009769285,"Sphingopyxis.macrogoltabida"
"Corynebacterium.callunae",0.000310287958466465,"Corynebacterium.callunae"
"Paracoccus.aminovorans",0.000300934004220411,"Paracoccus.aminovorans"
"Paracoccus.zhejiangensis",0.000285139014655378,"Paracoccus.zhejiangensis"
"Anaerococcus.mediterraneensis",0.000279211250371291,"Anaerococcus.mediterraneensis"
"Staphylococcus.epidermidis",0.000276694453902101,"Staphylococcus.epidermidis"
"Kineococcus.radiotolerans",0.0002743802757692,"Kineococcus.radiotolerans"
"Rubrivivax.gelatinosus",0.000270433200461534,"Rubrivivax.gelatinosus"
"Sphingobacterium.sp..G1.14",0.000269747165939629,"Sphingobacterium.sp..G1.14"
"Bacillus.simplex",0.000265092351275298,"Bacillus.simplex"
"Pseudomonas.sp..ATCC.13867",0.000258354917944915,"Pseudomonas.sp..ATCC.13867"
"Haemophilus.parainfluenzae",0.000256765565149228,"Haemophilus.parainfluenzae"
"Chryseobacterium.indologenes",0.000256185892295632,"Chryseobacterium.indologenes"
"Plantactinospora.sp..KBS50",0.000250792376768093,"Plantactinospora.sp..KBS50"
"Rhodococcus.sp..PBTS.1",0.000249648088482863,"Rhodococcus.sp..PBTS.1"
"Sphingopyxis.granuli",0.000248226823035023,"Sphingopyxis.granuli"
"Sporosarcina.psychrophila",0.000245543943175247,"Sporosarcina.psychrophila"
"Enterococcus.casseliflavus",0.000243698805495013,"Enterococcus.casseliflavus"
"Parvimonas.micra",0.000241277325951347,"Parvimonas.micra"
"Azospirillum.brasilense",0.000239819251581091,"Azospirillum.brasilense"
"Mycobacterium.sp..QIA.37",0.000236254501373346,"Mycobacterium.sp..QIA.37"
"Amycolatopsis.sp..BJA.103",0.000233568439811859,"Amycolatopsis.sp..BJA.103"
"Janthinobacterium.agaricidamnosum",0.000220847731405072,"Janthinobacterium.agaricidamnosum"
"Streptococcus.sanguinis",0.000220609529818834,"Streptococcus.sanguinis"
"Thermobispora.bispora",0.00021878872745732,"Thermobispora.bispora"
"Delftia.acidovorans",0.000204966863371945,"Delftia.acidovorans"
"Rhizobium.sp..NT.26",0.000204700742330251,"Rhizobium.sp..NT.26"
"Streptomyces.lydicus",0.000203337506271231,"Streptomyces.lydicus"
"Pseudomonas.sp..NC02",0.000202426290974475,"Pseudomonas.sp..NC02"
"Mycobacterium.thermoresistibile",0.000201992624151639,"Mycobacterium.thermoresistibile"
"Microlunatus.phosphovorus",0.000199551246887788,"Microlunatus.phosphovorus"
"Enterococcus.sp..FDAARGOS_375",0.000196100715859274,"Enterococcus.sp..FDAARGOS_375"
"Lysobacter.capsici",0.000195615441872665,"Lysobacter.capsici"
"Altererythrobacter.epoxidivorans",0.000193451735486593,"Altererythrobacter.epoxidivorans"
"Ochrobactrum.pituitosum",0.000192549478738658,"Ochrobactrum.pituitosum"
"Cystobacter.fuscus",0.000189446784103125,"Cystobacter.fuscus"
"Rhodococcus.sp..B7740",0.000184709562349515,"Rhodococcus.sp..B7740"
"Shewanella.sp..FDAARGOS_354",0.000182972006853021,"Shewanella.sp..FDAARGOS_354"
"Ochrobactrum.pseudogrignonense",0.000182251414305331,"Ochrobactrum.pseudogrignonense"
"Sphingomonas.sp..LK11",0.000180967013576179,"Sphingomonas.sp..LK11"
"Bosea.sp..PAMC.26642",0.000169856609093778,"Bosea.sp..PAMC.26642"
"Lactobacillus.amylovorus",0.000167952794737212,"Lactobacillus.amylovorus"
"Achromobacter.sp..AONIH1",0.000162381135157571,"Achromobacter.sp..AONIH1"
"Curtobacterium.sp..MR_MD2014",0.000162287292048625,"Curtobacterium.sp..MR_MD2014"
"Nitrobacter.hamburgensis",0.000161511011522015,"Nitrobacter.hamburgensis"
"Mycobacterium.goodii",0.000153636022988283,"Mycobacterium.goodii"
"Nonomuraea.sp..ATCC.55076",0.000149183158782307,"Nonomuraea.sp..ATCC.55076"
"Corynebacterium.stationis",0.000148826210720984,"Corynebacterium.stationis"
"Sphingobium.cloacae",0.000148542623655376,"Sphingobium.cloacae"
"Achromobacter.denitrificans",0.000133394788632242,"Achromobacter.denitrificans"
"Rubrobacter.xylanophilus",0.000131075498295713,"Rubrobacter.xylanophilus"
"Microterricola.viridarii",0.000130359008710337,"Microterricola.viridarii"
"Streptomyces.sp..4F",0.000127004892743466,"Streptomyces.sp..4F"
"Tessaracoccus.flavescens",0.00012613663105638,"Tessaracoccus.flavescens"
"Streptomyces.gilvosporeus",0.000124610545150095,"Streptomyces.gilvosporeus"
"Microbacterium.sp..TPU.3598",0.000124413760820765,"Microbacterium.sp..TPU.3598"
"Altererythrobacter.dongtanensis",0.000120026416965958,"Altererythrobacter.dongtanensis"
"Sphingobium.baderi",0.000116363928904094,"Sphingobium.baderi"
"Pseudomonas.oryzihabitans",0.000113630772203912,"Pseudomonas.oryzihabitans"
"Pseudomonas.sp..GR.6.02",0.000103887601550778,"Pseudomonas.sp..GR.6.02"
"Brucella.sp..09RB8471",0.000101070728433397,"Brucella.sp..09RB8471"
"Altererythrobacter.namhicola",0.000100989160591009,"Altererythrobacter.namhicola"
"Paracoccus.denitrificans",9.69674621271447e-05,"Paracoccus.denitrificans"
"Nocardioides.dokdonensis",9.49463614387428e-05,"Nocardioides.dokdonensis"
"Pseudomonas.balearica",9.47866428028079e-05,"Pseudomonas.balearica"
"Nocardiopsis.dassonvillei",9.37443928277477e-05,"Nocardiopsis.dassonvillei"
"Sphingomonas.melonis",8.83494357014284e-05,"Sphingomonas.melonis"
"Enterococcus.sp..CR.Ec1",6.75289352556996e-05,"Enterococcus.sp..CR.Ec1"
"Rhodococcus.hoagii",6.06359214422707e-05,"Rhodococcus.hoagii"
"Microbacterium.aurum",1.35475085849361e-05,"Microbacterium.aurum"
"Actinoplanes.sp..N902.109",7.5278795378985e-06,"Actinoplanes.sp..N902.109"
"Serinicoccus.sp..JLT9",-6.90258324543294e-06,"Serinicoccus.sp..JLT9"
"Kytococcus.sedentarius",-9.43842656668645e-06,"Kytococcus.sedentarius"
"Pseudomonas.sp..FDAARGOS_380",-3.00664044671081e-05,"Pseudomonas.sp..FDAARGOS_380"
"Streptococcus.mitis",-3.19448576200083e-05,"Streptococcus.mitis"
"Tessaracoccus.sp..T2.5.30",-3.52893429182474e-05,"Tessaracoccus.sp..T2.5.30"
"Sphingomonas.sp..Cra20",-4.00586056814398e-05,"Sphingomonas.sp..Cra20"
"Staphylococcus.hominis",-4.03483768053192e-05,"Staphylococcus.hominis"
"Staphylococcus.warneri",-8.67992673137329e-05,"Staphylococcus.warneri"
"Streptococcus.sp..FDAARGOS_192",-9.75227218656996e-05,"Streptococcus.sp..FDAARGOS_192"
"Corynebacterium.glutamicum",-9.82088951901117e-05,"Corynebacterium.glutamicum"
"Nocardioides.sp..JS614",-0.000106005307154309,"Nocardioides.sp..JS614"
"Mycobacterium.litorale",-0.000106185977031675,"Mycobacterium.litorale"
"Phyllobacterium.sp..Tri.48",-0.000108851535291207,"Phyllobacterium.sp..Tri.48"
"Acinetobacter.pittii",-0.00013510703817896,"Acinetobacter.pittii"
"Corynebacterium.ammoniagenes",-0.000139380273754947,"Corynebacterium.ammoniagenes"
"Arsenicicoccus.sp..oral.taxon.190",-0.000143844949334573,"Arsenicicoccus.sp..oral.taxon.190"
"Bacillus.cereus",-0.000145886711296772,"Bacillus.cereus"
"Rhizobium.leguminosarum",-0.000176260736921773,"Rhizobium.leguminosarum"
"Nocardia.farcinica",-0.000190626451537079,"Nocardia.farcinica"
"Porphyromonas.gingivalis",-0.000246585283503933,"Porphyromonas.gingivalis"
"Psychrobacter.sp..P2G3",-0.000251009727560132,"Psychrobacter.sp..P2G3"
"Leptothrix.cholodnii",-0.000304297321147378,"Leptothrix.cholodnii"
