"","Overall","taxa"
"Methylobacterium.sp..C1",0.0117573616950083,"Methylobacterium.sp..C1"
"Acinetobacter.schindleri",0.0117490873826853,"Acinetobacter.schindleri"
"Pseudomonas.balearica",0.0115499287441339,"Pseudomonas.balearica"
"Rhodococcus.fascians",0.0108874330304084,"Rhodococcus.fascians"
"Thermothelomyces.thermophila",0.0108686338148117,"Thermothelomyces.thermophila"
"Chroococcidiopsis.thermalis",0.0107685426880829,"Chroococcidiopsis.thermalis"
"Jeotgalibacillus.malaysiensis",0.010559661074513,"Jeotgalibacillus.malaysiensis"
"Brevundimonas.sp..DS20",0.0104151186564417,"Brevundimonas.sp..DS20"
"Bradyrhizobium.sp..CCGE.LA001",0.0103673366064263,"Bradyrhizobium.sp..CCGE.LA001"
"Cutibacterium.acnes",0.0103510095402917,"Cutibacterium.acnes"
"Rhodococcus.sp..PBTS.2",0.00987995342991786,"Rhodococcus.sp..PBTS.2"
"Acinetobacter.junii",0.00984462209916395,"Acinetobacter.junii"
"Bradyrhizobium.japonicum",0.00933432468154832,"Bradyrhizobium.japonicum"
"Leclercia.sp..LSNIH1",0.00932361763398608,"Leclercia.sp..LSNIH1"
"Pseudomonas.koreensis",0.00929315567847825,"Pseudomonas.koreensis"
"Corynebacterium.kroppenstedtii",0.00920801308348736,"Corynebacterium.kroppenstedtii"
"Methylobacterium.radiotolerans",0.00896464777000005,"Methylobacterium.radiotolerans"
"Staphylococcus.hominis",0.00863189149818585,"Staphylococcus.hominis"
"Kocuria.rhizophila",0.00859559056770428,"Kocuria.rhizophila"
"Carnobacterium.sp..17.4",0.00858049511992552,"Carnobacterium.sp..17.4"
"Chryseobacterium.taklimakanense",0.00854167667515463,"Chryseobacterium.taklimakanense"
"Microbacterium.sp..TPU.3598",0.00849749124317231,"Microbacterium.sp..TPU.3598"
"Streptococcus.thermophilus",0.0082945735846293,"Streptococcus.thermophilus"
"Streptococcus.gordonii",0.00828367782530229,"Streptococcus.gordonii"
"Klebsiella.quasipneumoniae",0.00822097472298271,"Klebsiella.quasipneumoniae"
"Veillonella.parvula",0.00815606953684004,"Veillonella.parvula"
"Pantoea.sp..PSNIH2",0.00812578944843619,"Pantoea.sp..PSNIH2"
"Streptococcus.parasanguinis",0.00805444198297207,"Streptococcus.parasanguinis"
"Kocuria.flava",0.00805284132194196,"Kocuria.flava"
"Acinetobacter.sp..LoGeW2.3",0.00803861668995116,"Acinetobacter.sp..LoGeW2.3"
"Deinococcus.radiodurans",0.00802801945333322,"Deinococcus.radiodurans"
"Candida.dubliniensis",0.00800772769700273,"Candida.dubliniensis"
"Thielavia.terrestris",0.00793447277174913,"Thielavia.terrestris"
"Bradyrhizobium.sp.",0.00789326829779606,"Bradyrhizobium.sp."
"Stenotrophomonas.sp..LM091",0.00785148187517349,"Stenotrophomonas.sp..LM091"
"Erwinia.gerundensis",0.00765418545831094,"Erwinia.gerundensis"
"Staphylococcus.aureus",0.00757013310566421,"Staphylococcus.aureus"
"Enterococcus.faecium",0.00747227119706514,"Enterococcus.faecium"
"Rhodococcus.sp..B7740",0.00741781863438708,"Rhodococcus.sp..B7740"
"Variovorax.sp..PAMC.28711",0.00736478597203213,"Variovorax.sp..PAMC.28711"
"Tessaracoccus.flavus",0.00728926199610076,"Tessaracoccus.flavus"
"Brevundimonas.sp..GW460.12.10.14.LB2",0.00726155647922181,"Brevundimonas.sp..GW460.12.10.14.LB2"
"Erwinia.billingiae",0.00724127343374549,"Erwinia.billingiae"
"Micrococcus.luteus",0.00685691645635552,"Micrococcus.luteus"
"Moraxella.osloensis",0.00671280744721509,"Moraxella.osloensis"
"Brevundimonas.sp..LM2",0.00668742348994094,"Brevundimonas.sp..LM2"
"Deinococcus.gobiensis",0.00667818928499995,"Deinococcus.gobiensis"
"Kosakonia.cowanii",0.00660213645434772,"Kosakonia.cowanii"
"Methylobacterium.phyllosphaerae",0.00655258153840177,"Methylobacterium.phyllosphaerae"
"Truepera.radiovictrix",0.00654767918695472,"Truepera.radiovictrix"
"Paracoccus.yeei",0.0064845895497024,"Paracoccus.yeei"
"Paucibacter.sp..KCTC.42545",0.00634010314400568,"Paucibacter.sp..KCTC.42545"
"Enterobacter.cloacae",0.00633297252406272,"Enterobacter.cloacae"
"Streptococcus.salivarius",0.00631053895242888,"Streptococcus.salivarius"
"Variovorax.paradoxus",0.00617013708510635,"Variovorax.paradoxus"
"Tessaracoccus.sp..T2.5.30",0.00613615883681956,"Tessaracoccus.sp..T2.5.30"
"Acinetobacter.haemolyticus",0.00613000983036323,"Acinetobacter.haemolyticus"
"Exiguobacterium.sp..AT1b",0.00599693861586953,"Exiguobacterium.sp..AT1b"
"Rhodococcus.sp..PBTS.1",0.00597808807873166,"Rhodococcus.sp..PBTS.1"
"Rhodococcus.erythropolis",0.00595838919535248,"Rhodococcus.erythropolis"
"Arsenicicoccus.sp..oral.taxon.190",0.00589913742770156,"Arsenicicoccus.sp..oral.taxon.190"
"Acinetobacter.sp..NCu2D.2",0.0058576887291011,"Acinetobacter.sp..NCu2D.2"
"Brevundimonas.vesicularis",0.00584967202923834,"Brevundimonas.vesicularis"
"Weissella.cibaria",0.00579215249266589,"Weissella.cibaria"
"Polaromonas.naphthalenivorans",0.00574922407624793,"Polaromonas.naphthalenivorans"
"Brevundimonas.naejangsanensis",0.00572853848043472,"Brevundimonas.naejangsanensis"
"Plautia.stali.symbiont",0.00568655774230273,"Plautia.stali.symbiont"
"Staphylococcus.capitis",0.00562452008573751,"Staphylococcus.capitis"
"Rothia.dentocariosa",0.00560889551523273,"Rothia.dentocariosa"
"Microbacterium.sp..CGR1",0.00552895943990881,"Microbacterium.sp..CGR1"
"Microbacterium.aurum",0.0055242486227588,"Microbacterium.aurum"
"Klebsiella.quasivariicola",0.0054991021958571,"Klebsiella.quasivariicola"
"Microbacterium.sp..PAMC.28756",0.00545535862535356,"Microbacterium.sp..PAMC.28756"
"Cronobacter.dublinensis",0.00540919166005577,"Cronobacter.dublinensis"
"Staphylococcus.epidermidis",0.00527512778266368,"Staphylococcus.epidermidis"
"Rathayibacter.tritici",0.00526609741216156,"Rathayibacter.tritici"
"Nakamurella.multipartita",0.00524637918612313,"Nakamurella.multipartita"
"Hymenobacter.sp..PAMC.26554",0.0052459367871469,"Hymenobacter.sp..PAMC.26554"
"Hymenobacter.sp..APR13",0.00522999153492506,"Hymenobacter.sp..APR13"
"Brevundimonas.subvibrioides",0.00517602437059221,"Brevundimonas.subvibrioides"
"Lactococcus.lactis",0.00517127366351017,"Lactococcus.lactis"
"Human.mastadenovirus.C",0.00514901300995092,"Human.mastadenovirus.C"
"Nostoc.flagelliforme",0.00510319369616499,"Nostoc.flagelliforme"
"Microbacterium.sp..1.5R",0.00509938672717684,"Microbacterium.sp..1.5R"
"Erythrobacter.atlanticus",0.00507370974990206,"Erythrobacter.atlanticus"
"Roseateles.depolymerans",0.00504868800882241,"Roseateles.depolymerans"
"Pseudomonas.aeruginosa",0.00504300418033787,"Pseudomonas.aeruginosa"
"Acidovorax.sp..KKS102",0.00501308947321209,"Acidovorax.sp..KKS102"
"Gordonia.phage.Phinally",0.00500554529728102,"Gordonia.phage.Phinally"
"Calothrix.sp..NIES.4071",0.0049832352506162,"Calothrix.sp..NIES.4071"
"Cronobacter.turicensis",0.00498003687696486,"Cronobacter.turicensis"
"Spirosoma.sp..HA7",0.0049572816762657,"Spirosoma.sp..HA7"
"Lactobacillus.amylovorus",0.00491841546990039,"Lactobacillus.amylovorus"
"Pseudomonas.fragi",0.00489474268058918,"Pseudomonas.fragi"
"Nocardioides.sp..JS614",0.00488730065403612,"Nocardioides.sp..JS614"
"Pseudomonas.azotoformans",0.00488528956365627,"Pseudomonas.azotoformans"
"Clavibacter.michiganensis",0.00484732155362703,"Clavibacter.michiganensis"
"Acinetobacter.johnsonii",0.00478532634310624,"Acinetobacter.johnsonii"
"Sphingomonas.melonis",0.0047532859307522,"Sphingomonas.melonis"
"Saccharomyces.cerevisiae",0.00467290554317188,"Saccharomyces.cerevisiae"
"Nocardioides.dokdonensis",0.00459229419690255,"Nocardioides.dokdonensis"
"Nocardioides.sp..78",0.00458550157485731,"Nocardioides.sp..78"
"Enterobacter.asburiae",0.00456134585448851,"Enterobacter.asburiae"
"Gardnerella.vaginalis",0.00452392440933532,"Gardnerella.vaginalis"
"Ralstonia.insidiosa",0.00452040726861894,"Ralstonia.insidiosa"
"Paracoccus.aminovorans",0.00444705274052501,"Paracoccus.aminovorans"
"Pseudomonas.pseudoalcaligenes",0.00441182653773654,"Pseudomonas.pseudoalcaligenes"
"Auricoccus.indicus",0.00438413424985031,"Auricoccus.indicus"
"Massilia.sp..B2",0.00435969200282922,"Massilia.sp..B2"
"Leishmania.major",0.00435611637615141,"Leishmania.major"
"Pantoea.vagans",0.00430141633788484,"Pantoea.vagans"
"Roseomonas.sp..FDAARGOS_362",0.00428005068157491,"Roseomonas.sp..FDAARGOS_362"
"Methylobacterium.extorquens",0.00427919759849944,"Methylobacterium.extorquens"
"Paracoccus.contaminans",0.00427416734678303,"Paracoccus.contaminans"
"Fusobacterium.nucleatum",0.00427040512635021,"Fusobacterium.nucleatum"
"Propionibacterium.sp..oral.taxon.193",0.00426174260076922,"Propionibacterium.sp..oral.taxon.193"
"Propionibacterium.virus.Pirate",0.00420909770762954,"Propionibacterium.virus.Pirate"
"Mitsuaria.sp..7",0.00418373721919534,"Mitsuaria.sp..7"
"Methylobacterium.populi",0.00417853775930015,"Methylobacterium.populi"
"Corynebacterium.ureicelerivorans",0.00412560764410708,"Corynebacterium.ureicelerivorans"
"Lactobacillus.reuteri",0.00412258423672832,"Lactobacillus.reuteri"
"Hymenobacter.swuensis",0.00406128597834794,"Hymenobacter.swuensis"
"Geodermatophilus.obscurus",0.0040600921154263,"Geodermatophilus.obscurus"
"Hymenobacter.sedentarius",0.00403666787694037,"Hymenobacter.sedentarius"
"Acinetobacter.baumannii",0.00400811291650614,"Acinetobacter.baumannii"
"Acinetobacter.pittii",0.00400164227225156,"Acinetobacter.pittii"
"Arthrobacter.crystallopoietes",0.00399954152202933,"Arthrobacter.crystallopoietes"
"Oscillatoria.nigro.viridis",0.00398513506886343,"Oscillatoria.nigro.viridis"
"Psychrobacter.sp..DAB_AL43B",0.00388547429424913,"Psychrobacter.sp..DAB_AL43B"
"Modestobacter.marinus",0.00382987805174021,"Modestobacter.marinus"
"Rubrobacter.xylanophilus",0.00382568720662409,"Rubrobacter.xylanophilus"
"Methylobacterium.oryzae",0.00380524169847826,"Methylobacterium.oryzae"
"Escherichia.coli",0.00380007896085383,"Escherichia.coli"
"Kytococcus.sedentarius",0.00375853897246487,"Kytococcus.sedentarius"
"Massilia.sp..WG5",0.00374286858567616,"Massilia.sp..WG5"
"Pseudomonas.rhizosphaerae",0.00373767738712696,"Pseudomonas.rhizosphaerae"
"Mycobacterium.sp..QIA.37",0.00368807615796339,"Mycobacterium.sp..QIA.37"
"Tsukamurella.sp..MH1",0.00365247168362527,"Tsukamurella.sp..MH1"
"Hymenobacter.sp..PAMC.26628",0.00356286907110187,"Hymenobacter.sp..PAMC.26628"
"Staphylococcus.haemolyticus",0.00355730252543005,"Staphylococcus.haemolyticus"
"Psychrobacter.sp..G",0.00355396772336021,"Psychrobacter.sp..G"
"Psychrobacter.arcticus",0.00352078908102819,"Psychrobacter.arcticus"
"Arthrobacter.sp..U41",0.00343415353823923,"Arthrobacter.sp..U41"
"Pimelobacter.simplex",0.00342644160550523,"Pimelobacter.simplex"
"Burkholderia.contaminans",0.00333195367766715,"Burkholderia.contaminans"
"Methylobacterium.sp..AMS5",0.00330243963269363,"Methylobacterium.sp..AMS5"
"Klebsiella.pneumoniae",0.00327732269453829,"Klebsiella.pneumoniae"
"Rhodococcus.sp..YL.1",0.00321005124244238,"Rhodococcus.sp..YL.1"
"Psychrobacter.cryohalolentis",0.00320276384277731,"Psychrobacter.cryohalolentis"
"Methylocystis.bryophila",0.00319787158763813,"Methylocystis.bryophila"
"Lactobacillus.curvatus",0.00314979163191113,"Lactobacillus.curvatus"
"Kocuria.palustris",0.00313448931006763,"Kocuria.palustris"
"Lactobacillus.sakei",0.00309390439834064,"Lactobacillus.sakei"
"Buchnera.aphidicola",0.00309204869675431,"Buchnera.aphidicola"
"Bradyrhizobium.oligotrophicum",0.00304097142958153,"Bradyrhizobium.oligotrophicum"
"Leuconostoc.carnosum",0.00299027646461106,"Leuconostoc.carnosum"
"Pseudarthrobacter.chlorophenolicus",0.0029479718822638,"Pseudarthrobacter.chlorophenolicus"
"Bradyrhizobium.sp..ORS.285",0.00278281543767119,"Bradyrhizobium.sp..ORS.285"
"Exiguobacterium.sibiricum",0.0027586363312073,"Exiguobacterium.sibiricum"
"Cupriavidus.basilensis",0.00272841797630852,"Cupriavidus.basilensis"
"Dietzia.timorensis",0.00272495742387802,"Dietzia.timorensis"
"Staphylococcus.saprophyticus",0.00272230527236996,"Staphylococcus.saprophyticus"
"Staphylococcus.pasteuri",0.00271571266819418,"Staphylococcus.pasteuri"
"Bradyrhizobium.icense",0.00265848645074234,"Bradyrhizobium.icense"
"Staphylococcus.warneri",0.00256446152351646,"Staphylococcus.warneri"
"Carnobacterium.maltaromaticum",0.00255733272089705,"Carnobacterium.maltaromaticum"
"Staphylococcus.equorum",0.00249362727269517,"Staphylococcus.equorum"
"Psychrobacter.alimentarius",0.00227222142566505,"Psychrobacter.alimentarius"
"Vitreoscilla.filiformis",0.00219751639040924,"Vitreoscilla.filiformis"
"Bradyrhizobium.sp..ORS.278",0.00208809700805268,"Bradyrhizobium.sp..ORS.278"
"Glutamicibacter.arilaitensis",0.0020599057313913,"Glutamicibacter.arilaitensis"
"Leuconostoc.gelidum",0.00190637775816382,"Leuconostoc.gelidum"
"Theileria.orientalis",0.00181014699591848,"Theileria.orientalis"
